date,satellite,cloud_pct,status,season,threshold,action
2025-10-30,Sentinel-2B,70.5,REJECTED,Kharif,50,Skipped — cloud cover 70.5% exceeds 50% Kharif QA threshold
2025-11-02,Sentinel-2B,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-04,Sentinel-2C,0.4,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-04,Sentinel-2C,2.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-06,Sentinel-2A,0.5,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-06,Sentinel-2A,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-07,Sentinel-2C,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-09,Sentinel-2A,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-09,Sentinel-2B,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-12,Sentinel-2B,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-14,Sentinel-2C,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-17,Sentinel-2C,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-19,Sentinel-2B,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-22,Sentinel-2B,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-24,Sentinel-2C,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-26,Sentinel-2A,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-27,Sentinel-2C,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-29,Sentinel-2B,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-11-29,Sentinel-2A,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-02,Sentinel-2B,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-04,Sentinel-2C,23.1,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-04,Sentinel-2C,51.2,REJECTED,Rabi,25,Skipped — cloud cover 51.2% exceeds 25% Rabi QA threshold
2025-12-07,Sentinel-2C,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-09,Sentinel-2B,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-12,Sentinel-2B,57.2,REJECTED,Rabi,25,Skipped — cloud cover 57.2% exceeds 25% Rabi QA threshold
2025-12-12,Sentinel-2B,21.1,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-14,Sentinel-2C,40.4,REJECTED,Rabi,25,Skipped — cloud cover 40.4% exceeds 25% Rabi QA threshold
2025-12-14,Sentinel-2C,39.9,REJECTED,Rabi,25,Skipped — cloud cover 39.9% exceeds 25% Rabi QA threshold
2025-12-16,Sentinel-2A,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-16,Sentinel-2A,0.2,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-17,Sentinel-2C,12.9,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-17,Sentinel-2C,28.8,REJECTED,Rabi,25,Skipped — cloud cover 28.8% exceeds 25% Rabi QA threshold
2025-12-19,Sentinel-2A,100.0,REJECTED,Rabi,25,Skipped — cloud cover 100.0% exceeds 25% Rabi QA threshold
