sample_id,easting_utm,northing_utm,longitude,latitude,bulk_density,pH,EC,K2O,available_P,OC,CaCO3,available_N,CEC,dem,slope,aspect,lulc,lithology,geomorphology,NDVI,NDBI,SAVI,BSI
filebc494d5a79.93,626135.0,3414545.0,76.31924032,30.85741504,253.72,8.411,0.128,107.2932,21.28,0.3,1.0,188.16,14.0652174,223.6078643798828,1.0,238.5562744140625,2.0,1.0,1.0,0.5252009000867249,-0.2213383369251499,0.3201246828671111,-0.1380090640604312
filebc494d5a79.94,635845.0,3406355.0,76.41968401,30.78246111,299.536,8.522,0.08,50.61,29.792,0.3375,0.375,188.16,15.2869565,225.52247619628903,1.0,229.64370727539065,2.0,1.0,1.0,0.5703012012078172,-0.1645962798144695,0.3276883376134449,-0.1042091752759289
filebc494d5a79.95,624895.0,3411075.0,76.30585003,30.82624332,174.429,8.525,0.076,89.0736,11.2,0.315,2.75,225.792,16.0543478,223.7626190185547,1.0,215.8916931152344,2.0,1.0,1.0,0.5993511650157961,-0.23301375549853,0.3822853149767838,-0.1625567762280742
filebc494d5a79.96,627665.0,3412155.0,76.33494026,30.83569087,214.11,8.426,0.099,114.716,17.248,0.66,0.625,225.792,1.09347826,225.5681915283203,1.0,346.22723388671875,3.0,1.0,1.0,0.3537553207923798,0.0419224128445555,0.1864907034014869,0.0760146085848117
filebc494d5a79.97,632395.0,3405185.0,76.38348679,30.77229639,207.87,8.482,0.108,84.35,12.544,0.45,1.75,250.88,24.9673913,223.35809326171875,2.0,132.32057189941406,2.0,1.0,1.0,0.6724110292539253,-0.2876984303704279,0.3863594479480702,-0.2302058767750257
filebc494d5a79.98,628785.0,3405245.0,76.34577984,30.77323456,242.981,8.403,0.139,187.5944,27.328,0.525,0.5,225.792,9.26521739,223.5548858642578,1.0,279.9330444335937,2.0,2.0,1.0,0.4899866453235886,-0.1171171266729623,0.2959500636198846,-0.0493858124161101
filebc494d5a79.99,632895.0,3412835.0,76.38970331,30.84124992,220.898,8.457,0.236,178.1472,37.184,0.825,1.75,301.056,14.0652174,226.80810546875,3.0,79.65708923339844,3.0,1.0,1.0,0.4600143896048725,-0.1156069259843359,0.2463348647936639,-0.0624751196414115
filebc494d5a79.100,635005.0,3406305.0,76.41090104,30.78210588,318.362,8.496,0.145,284.0908,25.536,0.675,2.5,313.6,12.6391304,224.09359741210935,1.0,71.22169494628906,3.0,1.0,1.0,0.5185643597736969,-0.153466519716583,0.3053935850229137,-0.0870796578508714
filebc494d5a79.101,630035.0,3408075.0,76.35919808,30.79862773,180.904,8.274,0.151,247.6516,39.648,0.525,1.25,250.88,14.0652174,224.6163787841797,1.0,263.9869384765625,2.0,1.0,1.0,0.4302229315096794,-0.0261676583902119,0.2715741713421081,0.0276697344831744
filebc494d5a79.102,629315.0,3408055.0,76.35167149,30.798526,213.699,8.538,0.081,75.5776,11.2,0.45,1.0,238.336,22.1130435,224.8890686035156,2.0,130.24990844726562,2.0,1.0,1.0,0.4509261955411375,-0.1070562224064867,0.2839155236794098,-0.0353652955421825
filebc494d5a79.103,633085.0,3409345.0,76.3912356,30.80974601,298.332,8.322,0.115,84.35,141.568,0.4125,0.5,213.248,15.3586957,224.8170623779297,2.0,139.3773956298828,2.0,1.0,1.0,0.715253278999219,-0.342314485975434,0.444987419498291,-0.2818157218388205
filebc494d5a79.104,628785.0,3401075.0,76.34525668,30.7356167,221.004,8.542,0.101,123.4884,22.4,0.675,2.75,275.968,9.58913043,221.03152465820312,2.0,181.8924102783203,2.0,1.0,1.0,0.6351505237394602,-0.2827779706767665,0.3626199954785197,-0.206701639478188
filebc494d5a79.105,634295.0,3410715.0,76.40406121,30.82196806,254.718,8.769,0.088,91.7728,30.464,0.165,1.75,263.424,19.9934783,226.2173614501953,3.0,109.50545501708984,2.0,1.0,1.0,0.4821786964438509,-0.1614073369202054,0.2844184341531467,-0.0898479132787214
filebc494d5a79.106,626005.0,3403185.0,76.3164829,30.75494915,180.737,8.867,0.084,148.456,18.592,0.4425,4.0,125.44,13.5217391,223.00462341308597,1.0,187.52517700195312,3.0,1.0,1.0,0.658800549943101,-0.2625558009363063,0.3947937402989888,-0.2084998431873351
filebc494d5a79.107,630205.0,3405045.0,76.36058968,30.77127554,287.667,8.418,0.163,175.448,24.416,0.57,2.25,225.792,17.7217391,224.350341796875,2.0,14.702293395996094,2.0,1.0,1.0,0.4341197085781496,-0.1656665886685005,0.2499845879339593,-0.0785661241249027
filebc494d5a79.108,626815.0,3402085.0,76.3248079,30.74493974,289.737,8.459,0.151,229.432,13.216,0.285,0.75,175.616,17.6586957,221.16001892089844,2.0,242.97201538085935,1.0,1.0,1.0,0.382376052907447,0.0222593254052574,0.193317406095468,0.0557680766076898
filebc494d5a79.109,637035.0,3404465.0,76.43186461,30.76527521,319.51,8.486,0.126,74.9028,14.336,0.5775,0.25,225.792,10.7304348,225.9462738037109,4.0,160.8617706298828,2.0,1.0,1.0,0.4682899004067042,-0.0715983029887859,0.2907876085456902,-0.011788420426966
filebc494d5a79.110,632935.0,3404505.0,76.3890401,30.76610187,281.89,8.503,0.088,45.8864,12.32,0.4875,0.375,301.056,14.0652174,223.2419891357422,3.0,142.009765625,3.0,1.0,1.0,0.3559952614661069,-0.0172544930724159,0.1984226737520518,0.027204845865985
filebc494d5a79.111,636005.0,3407935.0,76.4215654,30.79669555,231.699,8.401,0.094,42.5124,15.008,0.48,0.875,225.792,14.0652174,226.5182342529297,2.0,317.33795166015625,2.0,1.0,1.0,0.3658766026203637,-0.0033436810469085,0.2135788736322272,0.0536634284224558
filebc494d5a79.112,630375.0,3403205.0,76.3621319,30.75465826,202.942,8.427,0.099,55.3336,19.712,1.575,0.5,225.792,14.0652174,221.9842834472656,2.0,7.691169738769531,2.0,1.0,1.0,0.3758528743095035,-0.1488729322240058,0.227033816904284,-0.0515322761034869
filebc494d5a79.113,622845.0,3407795.0,76.28402702,30.79686799,165.024,8.508,0.093,66.1304,10.528,0.54,1.0,225.792,13.4347826,225.75698852539065,5.0,23.6004638671875,3.0,2.0,1.0,0.3807572740307663,0.00011867868423648872,0.216415141741685,0.0393459184650895
filebc494d5a79.114,633175.0,3411465.0,76.39245213,30.82886001,211.569,8.386,0.121,124.838,13.888,0.5775,1.25,225.792,20.4934783,225.85829162597656,1.0,17.25745391845703,2.0,1.0,1.0,0.4885191384222709,-0.1322617371966941,0.2750780728712397,-0.0683055026971095
filebc494d5a79.115,629665.0,3410435.0,76.35563047,30.81995768,286.937,8.427,0.094,107.968,13.664,0.2925,0.25,225.792,1.32608696,226.3014373779297,3.0,191.52084350585935,3.0,1.0,1.0,0.566378189929316,-0.2136849496920686,0.3443836764794464,-0.1402699346930185
filebc494d5a79.116,624075.0,3401395.0,76.29610663,30.73900414,264.51,8.434,0.09,39.8132,12.32,0.4875,0.625,200.704,14.0652174,221.06072998046875,1.0,271.23712158203125,1.0,1.0,1.0,0.3645312399345926,-0.0668685373545938,0.2092054170380725,0.0012367437255909
filebc494d5a79.117,626735.0,3415165.0,76.32559123,30.86294397,307.042,8.663,0.096,10.122,16.8,0.2325,1.25,200.704,15.3347826,222.75799560546875,1.0,190.742431640625,2.0,1.0,1.0,0.515040725094425,-0.1571464990725455,0.2902228900945998,-0.0997457104248339
filebc494d5a79.118,628045.0,3411445.0,76.33882394,30.82924497,292.669,8.369,0.087,62.7564,33.824,0.225,0.5,225.792,14.0652174,225.88926696777344,1.0,229.5378570556641,3.0,1.0,1.0,0.5110053738364202,-0.1286381047285777,0.3081798767232753,-0.0629629872593442
filebc494d5a79.119,632485.0,3404575.0,76.38434824,30.7667836,247.06,8.665,0.072,58.0328,18.592,0.2475,0.5,225.792,10.1586957,222.7373962402344,2.0,47.48821258544922,3.0,1.0,1.0,0.5218406228158639,-0.1696565923947025,0.2934741911898333,-0.1105613828799157
filebc494d5a79.120,635845.0,3410095.0,76.42018005,30.81619862,196.767,8.169,0.141,129.5616,23.968,0.54,0.5,225.792,10.2217391,227.02850341796875,1.0,186.74737548828125,2.0,1.0,1.0,0.599351184344417,-0.1958762983483946,0.3428704029877321,-0.1432875297747914
filebc494d5a79.121,632805.0,3411755.0,76.3886221,30.83151756,270.032,8.427,0.099,55.3336,19.712,1.575,0.5,225.792,14.0652174,226.12376403808597,2.0,292.7928161621094,2.0,1.0,1.0,0.4448841204144367,-0.1238870116880337,0.2765284670076242,-0.0445675862664208
filebc494d5a79.122,624545.0,3405185.0,76.30147513,30.77314547,212.965,8.418,0.094,99.1956,104.16,0.33,1.0,250.88,14.0652174,221.43832397460935,1.0,353.5048828125,2.0,1.0,1.0,0.4518686238834676,-0.1251254016036683,0.2589147777542619,-0.0593466592712556
filebc494d5a79.123,636065.0,3409405.0,76.4223877,30.80994911,231.5495,8.538,0.12,35.0896,22.4,0.285,0.5,388.864,14.0652174,226.96282958984372,1.0,196.31927490234372,2.0,1.0,1.0,0.4834525124687873,-0.1712184860796235,0.272309998680922,-0.090311980695246
filebc494d5a79.124,628675.0,3410635.0,76.34530773,30.82186974,196.608,8.464,0.112,79.6264,12.544,0.48,0.125,225.792,11.0369565,224.8949279785156,2.0,291.9847412109375,2.0,1.0,1.0,0.4564435980986292,-0.0843527249188657,0.2525089922859145,-0.0380616494185586
filebc494d5a79.125,627945.0,3403895.0,76.33683564,30.76114688,202.432,8.342,0.114,28.3416,27.328,0.6,0.5,288.512,1.68478261,222.52003479003903,1.0,269.8313293457031,3.0,2.0,1.0,0.7353721947193003,-0.3725852571467878,0.5349693503019626,-0.2981541519586723
filebc494d5a79.126,631695.0,3405025.0,76.37615324,30.77093086,265.892,8.585,0.083,50.61,7.84,0.21,0.25,225.792,5.8326087,223.78668212890625,2.0,155.04409790039062,3.0,1.0,1.0,0.4723850588756782,-0.1627680257392141,0.2786676344013403,-0.0941735542240948
filebc494d5a79.127,633775.0,3409905.0,76.39852006,30.81472002,223.759,8.562,0.085,55.3336,25.984,0.3,0.5,250.88,12.6630435,224.79513549804688,1.0,223.05923461914065,2.0,1.0,1.0,0.3491124286441583,0.0063194690731581,0.2112171851713601,0.0554179600949443
filebc494d5a79.128,621795.0,3406385.0,76.27288668,30.78425622,225.606,8.472,0.076,51.9596,13.664,0.2475,0.25,163.072,7.6826087,226.8790283203125,4.0,243.80767822265625,3.0,1.0,1.0,0.1755593599254514,0.0525950877876655,0.1081781632420628,0.1056196632062514
filebc494d5a79.129,627225.0,3409865.0,76.33005559,30.81508005,226.185,8.285,0.086,45.2116,15.008,0.4125,0.25,200.704,13.2282609,224.9086151123047,1.0,15.424781799316406,2.0,1.0,1.0,0.6019746035035383,-0.2823755449346482,0.3746050287678294,-0.1973062912399397
filebc494d5a79.130,628225.0,3414275.0,76.34106062,30.85475484,173.46,8.296,0.101,33.74,14.336,0.45,0.5,288.512,6.05434783,225.38983154296875,2.0,126.1950225830078,2.0,1.0,1.0,0.5577557712493948,-0.2065733440982058,0.3253376440791269,-0.1480737698094033
filebc494d5a79.131,633635.0,3406375.0,76.39659627,30.78289233,171.686,8.269,0.126,116.7404,44.352,0.6975,2.0,238.336,14.0652174,224.48760986328125,1.0,197.47271728515625,3.0,1.0,1.0,0.5702254965464808,-0.2486498417994988,0.3626886408299197,-0.1621823205387719
filebc494d5a79.132,631715.0,3411745.0,76.37722646,30.83154901,265.157,8.421,0.12,62.0816,33.824,0.5625,1.875,200.704,14.0652174,224.9470977783203,2.0,73.4791488647461,3.0,1.0,1.0,0.4354460196791961,-0.1135897911476587,0.2647478630200824,-0.0409626575153337
