point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,rabi_mean,spring_max,spring_mean,kharif_max,kharif_mean,kharif_early_max,kharif_early_mean,annual_mean,annual_std,annual_min,n_observations,class_rabi_2025_26,class_kharif_2025
76.331894_30.758852,76.33189366596719,30.75885190554769,3,Agroforestry,agroforestry,0.6933462,0.6266624684615384,0.6155539,0.47533358555555555,0.7834395,0.6674848999999999,0.6940771,0.64641355,0.4935796494262295,0.14050998266892706,0.25,122,Other,Kharif_Maize
76.333387_30.761092,76.33338717850488,30.76109215683761,1,Wheat,wheat,0.8782132,0.8250742923076922,0.22080839,0.16904382333333332,0.890375,0.7463402227272727,0.29990715,0.18452489,0.4319985169754098,0.30764459546757533,0.029783394,122,Wheat,Rice
76.333895_30.835702,76.33389484309677,30.83570164606407,1,Wheat,wheat,0.86539584,0.8149169553846155,0.53521127,0.2405061188888889,0.85022444,0.6848626936363637,0.4627782,0.26054201499999996,0.49596851832031247,0.2687754951183435,0.05830583,128,Wheat,Kharif_Maize
76.334562_30.861228,76.33456189168277,30.86122779189324,2,Maize_Tall,maize,0.81306833,0.7412294192307692,0.31559116,0.20763909111111112,0.8650866,0.759359754,0.59683794,0.59683794,0.44387056241953127,0.279279273468528,-0.03591954,128,Wheat,Kharif_Maize
76.335409_30.786424,76.33540866836297,30.786424203250327,1,Wheat,wheat,0.89262015,0.8347413684615385,0.3665407,0.2342363088888889,0.8463192,0.6699578770000001,0.70946825,0.70946825,0.41256605312000005,0.28065695133548746,0.06758957,125,Wheat,Kharif_Maize
76.336133_30.801033,76.33613323464672,30.801032923323405,1,Wheat,wheat,0.83441484,0.7597189292307692,0.26871657,0.2130044011111111,0.8297162,0.7013423766666667,0.7775091,0.6069046499999999,0.45119508962698407,0.24921433378454086,0.062347613,126,Wheat,Kharif_Maize
76.336138_30.786236,76.3361375933492,30.786236245359884,1,Wheat,wheat,0.8989514,0.8174513523076924,0.20600693,0.1706011311111111,0.8531375,0.5863577627272728,0.8371335,0.8371335,0.4179454846984127,0.30299787795497557,0.07921929,126,Wheat,Kharif_Maize
76.336351_30.862021,76.33635083647873,30.862021339115508,1,Wheat,wheat,0.9046931,0.8409517938461537,0.27149716,0.19770126777777774,0.8734971,0.7632123645454545,0.4713217,0.4713217,0.45393179385039367,0.3058639725765624,0.055805,127,Wheat,Kharif_Maize
76.336679_30.795163,76.33667910581572,30.79516277962536,1,Wheat,wheat,0.87650275,0.8190776530769234,0.7903392,0.6811980077777777,0.8460005,0.6876953081818182,0.56636554,0.34252129,0.5855677466929136,0.2225930406181404,0.06260032,127,Other,Kharif_Maize
76.336836_30.761147,76.33683564445974,30.761146881649108,1,Wheat,Wheat +sugarcane,0.71628994,0.6665953184615384,0.835845,0.6352990533333334,0.785,0.678526041818182,0.62747526,0.595211865,0.573463245796748,0.146207178632489,0.035250463,246,Spring_Maize,Kharif_Maize
