sample_id,latitude,longitude,easting_utm,northing_utm,degradation_risk,crop_failure_risk,salinity_risk,overall_risk,degradation_cat,crop_failure_cat,salinity_cat
filebc494d5a79.201,30.80424597,76.33952242,636945.0,3405855.0,46.9,49.3,22.0,42.88,MODERATE,MODERATE,LOW
filebc494d5a79.202,30.80145017,76.28596931,628095.0,3413025.0,56.2,50.4,20.9,46.82,MODERATE,MODERATE,LOW
filebc494d5a79.203,30.83615104,76.35146666,631515.0,3402685.0,46.1,45.1,19.7,40.42,MODERATE,MODERATE,LOW
filebc494d5a79.204,30.77034964,76.37990644,628145.0,3408675.0,44.6,48.7,17.8,40.88000000000001,LOW,MODERATE,LOW
filebc494d5a79.205,30.84260627,76.40613925,623025.0,3408305.0,44.6,48.7,17.8,40.88000000000001,LOW,MODERATE,LOW
filebc494d5a79.206,30.75620151,76.31754465,629245.0,3412225.0,34.4,41.6,17.9,33.98,LOW,LOW,LOW
filebc494d5a79.207,30.73247122,76.29977924,632055.0,3404965.0,31.9,43.8,14.9,33.260000000000005,LOW,LOW,LOW
filebc494d5a79.187,30.75742933,76.3121288,634465.0,3413005.0,44.7,54.3,19.6,43.52,LOW,MODERATE,LOW
filebc494d5a79.188,30.80166592,76.31837357,626105.0,3403325.0,29.3,36.7,20.1,30.42,LOW,LOW,LOW
filebc494d5a79.189,30.73886048,76.37151909,624435.0,3400675.0,36.4,49.5,13.8,37.12,LOW,MODERATE,LOW
