system:index,BSI,NDBI,NDVI,SAVI,point_id,.geo
155,-0.023675510369471735,-0.09179684844600305,0.37563719556212033,0.20431512328918255,155,"{""type"":""Point"",""coordinates"":[76.407697,30.808856]}"
156,0.02805555539482508,-0.02711139939059432,0.3189937766600005,0.16950792662685876,156,"{""type"":""Point"",""coordinates"":[76.289836,30.754910000000002]}"
157,-0.2971820499435457,-0.33979051440977037,0.7473560425089769,0.45406948447465545,157,"{""type"":""Point"",""coordinates"":[76.345334,30.834015]}"
158,0.0012587023525616249,-0.060778425232247565,0.4609122934280502,0.27263642143404093,158,"{""type"":""Point"",""coordinates"":[76.339249,30.812711]}"
159,-0.055273378498151754,-0.09043141909737043,0.4611821449471274,0.24248231006107868,159,"{""type"":""Point"",""coordinates"":[76.36159,30.760938000000003]}"
160,-0.09623146777765552,-0.1911561231571696,0.47098974669996596,0.291686228159053,160,"{""type"":""Point"",""coordinates"":[76.383491,30.77650999999999]}"
161,0.06787938241626583,0.01229708620362096,0.2871795017524506,0.1655172494475032,161,"{""type"":""Point"",""coordinates"":[76.418705,30.814148999999997]}"
162,-0.13314840727601526,-0.1833333307463262,0.5715026925674255,0.3141037890472169,162,"{""type"":""Point"",""coordinates"":[76.295422,30.772619999999996]}"
163,-0.1464247092198779,-0.21791329574641183,0.5449284308528022,0.32397682650853077,163,"{""type"":""Point"",""coordinates"":[76.35012,30.847421]}"
164,0.03971053655246761,-0.023074932827906965,0.3319831330424459,0.18527473146891127,164,"{""type"":""Point"",""coordinates"":[76.336633,30.801460999999993]}"
165,-0.0513309471375165,-0.10416192780151992,0.4632308577623338,0.2771699934506011,165,"{""type"":""Point"",""coordinates"":[76.36317,30.787677999999996]}"
166,-0.1848295730613324,-0.25162716916392425,0.6193199738682776,0.35884373316543267,166,"{""type"":""Point"",""coordinates"":[76.380498,30.762393]}"
167,0.03177273349690835,-0.020251001695102768,0.33619722858991286,0.17584993515413283,167,"{""type"":""Point"",""coordinates"":[76.409279,30.804375]}"
168,-0.10121054118021958,-0.16994971986585755,0.48996536975259664,0.26920150371036555,168,"{""type"":""Point"",""coordinates"":[76.286632,30.751473]}"
169,-0.27012863776901097,-0.32470862933181355,0.7179564733393432,0.42880356868101294,169,"{""type"":""Point"",""coordinates"":[76.343752,30.829124]}"
170,-0.03821890706867401,-0.10701297790490683,0.41877495690245936,0.23575711777586206,170,"{""type"":""Point"",""coordinates"":[76.339249,30.809341]}"
171,-0.026792682794788518,-0.09866077030597599,0.3939205168126791,0.23091685732179557,171,"{""type"":""Point"",""coordinates"":[76.36238,30.758895000000003]}"
172,-0.2467389354722034,-0.3108901965579598,0.6935201555870834,0.42297651559064264,172,"{""type"":""Point"",""coordinates"":[76.385073,30.779165]}"
173,0.036844912031949374,0.025487690670274205,0.3360655985358549,0.15967478857323256,173,"{""type"":""Point"",""coordinates"":[76.420107,30.811888000000003]}"
174,-0.0801645079203869,-0.1701478776654522,0.48353849306425156,0.29830447311617225,174,"{""type"":""Point"",""coordinates"":[76.295422,30.77068299999999]}"
175,-0.17731526485953894,-0.24412710820799674,0.6256394862211399,0.3746846086101364,175,"{""type"":""Point"",""coordinates"":[76.35012,30.843043999999995]}"
176,-0.025972779864760417,-0.09840929202490989,0.4111534543685757,0.225751243962132,176,"{""type"":""Point"",""coordinates"":[76.335842,30.800456]}"
177,0.009587466552011566,-0.05869406575570004,0.39218525993636566,0.22556879111985245,177,"{""type"":""Point"",""coordinates"":[76.364319,30.7833]}"
178,-0.12258755252577708,-0.19652091866954,0.546642343045689,0.32547339920331897,178,"{""type"":""Point"",""coordinates"":[76.380498,30.769221999999996]}"
179,-0.3094806154067418,-0.3601416999649165,0.7520128914636605,0.48166400697905765,179,"{""type"":""Point"",""coordinates"":[76.404687,30.807887]}"
180,-0.08534080222399348,-0.1359173050999321,0.4776470680161392,0.2672727278842312,180,"{""type"":""Point"",""coordinates"":[76.290056,30.76382]}"
181,0.012214993113142692,-0.0266434744242695,0.37509696881593857,0.19140933896950388,181,"{""type"":""Point"",""coordinates"":[76.346736,30.853757000000005]}"
182,0.03932150492836348,0.010340626593841922,0.39956990440920886,0.19023891037012503,182,"{""type"":""Point"",""coordinates"":[76.335842,30.807402]}"
183,-0.004077760407298977,-0.07997852569042649,0.37643234133614306,0.20833595054157217,183,"{""type"":""Point"",""coordinates"":[76.36159,30.789623]}"
