point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,spring_max,prekharif_max,prekharif_mean,flood_ndwi_max,flood_mndwi_max,flood_ndvi_mean,kharif_max,kharif_mean,end_max,end_mean,annual_mean,annual_std,annual_min,annual_max,class_rabi_2025_26,class_kharif_2025
76.333895_30.835702,76.33389484309677,30.83570164606407,1,Wheat,wheat,0.86539584,0.53521127,0.16177958,0.142948016,-0.13243084,-0.13901868,0.05830583,0.85022444,0.7519195914285713,0.5317559,0.30011852846153847,0.49596851832031247,0.2687754951183435,0.05830583,0.8761322,Wheat,Rice
76.334562_30.861228,76.33456189168277,30.86122779189324,2,Maize_Tall,maize,0.81306833,0.31559116,0.1424767,0.09193500718888888,,,,0.8650866,0.7956573083333333,0.66088635,0.4688559876923077,0.44387056241953127,0.279279273468528,-0.03591954,0.869102,Wheat,Rice_Probable
76.335409_30.786424,76.33540866836297,30.786424203250327,1,Wheat,wheat,0.89262015,0.3665407,0.14794657,0.1261294727,,,,0.8463192,0.7309493783333334,0.5143043,0.27398580384615384,0.41256605312000005,0.28065695133548746,0.06758957,0.89262015,Wheat,Rice_Probable
76.336133_30.801033,76.33613323464672,30.801032923323405,1,Wheat,wheat,0.83441484,0.26871657,0.25754386,0.18804671,-0.29810727,0.23439667,0.4363002,0.8297162,0.7415446699999999,0.5861869,0.35438495230769235,0.45119508962698407,0.24921433378454086,0.062347613,0.88851726,Wheat,Rice
76.336138_30.786236,76.3361375933492,30.786236245359884,1,Wheat,wheat,0.8989514,0.20600693,0.11706037,0.10057559549999999,,,,0.8531375,0.7238888471428572,0.19523223,0.15169676999999998,0.4179454846984127,0.30299787795497557,0.07921929,0.91541964,Wheat,Rice_Probable
76.336351_30.862021,76.33635083647873,30.862021339115508,1,Wheat,wheat,0.9046931,0.27149716,0.15560916,0.1252255882222222,,,,0.8734971,0.7799245014285713,0.6284585,0.36852474583333333,0.45393179385039367,0.3058639725765624,0.055805,0.9329968,Wheat,Rice_Probable
76.336679_30.795163,76.33667910581572,30.79516277962536,1,Wheat,wheat,0.87650275,0.7903392,0.22831859,0.189584118,-0.11867704,0.02084507,0.11867704,0.8460005,0.7174069428571429,0.63494134,0.4169459338461539,0.5855677466929136,0.2225930406181404,0.06260032,0.8960462,Wheat,Rice
76.336836_30.761147,76.33683564445974,30.761146881649108,1,Wheat,Wheat +sugarcane,0.71628994,0.835845,0.7504254,0.585263666,-0.5232041,-0.36413735,0.56294847,0.75418675,0.6537007071428571,0.76421803,0.5434867116666667,0.573463245796748,0.146207178632489,0.035250463,0.835845,Spring_Maize,Kharif_Maize
76.337093_30.764663,76.33709320447916,30.76466295324718,4,Others,sugarcane( now sown)(1 m height),0.86801314,0.5625824,0.6954023,0.5762404990000001,-0.61243147,-0.4028169,0.67589575,0.70655185,0.6412580133333333,0.61640376,0.5312867533333333,0.49297886001639346,0.18250138506155544,0.050997782,0.86801314,Wheat,Kharif_Maize
76.337271_30.724602,76.3372709413635,30.724601665794108,2,Maize_Tall,maize,0.30266717,0.9652651,0.92716235,0.517529744090909,-0.67164826,-0.364627,0.8272892,0.655259,0.62039933,0.7417127,0.611288607826087,0.5030468228024193,0.2321667711219492,-0.014245015,0.96681505,Spring_Maize,Kharif_Maize
76.337396_30.718555,76.33739634171799,30.71855534564313,1,Wheat,wheat,0.9518834,0.21232417,0.24276729,0.11848602090909091,-0.09289618,0.3988764,0.2,0.84296805,0.7702048783333333,0.4716749,0.26395942434782604,0.437265337992,0.3102204581007801,0.01968135,0.9659554,Wheat,Rice
